author,authorLabel,fields,placeOfBirthLabel,dateOfBirth,dateOfDeath,description
http://www.wikidata.org/entity/Q168041,Ζμπίγκνιεφ Μπζεζίνσκι,"διεθνείς σχέσεις, εθνική ασφάλεια",Βαρσοβία,1928-03-28T00:00:00Z,2017-05-26T00:00:00Z,Πολωνοαμερικανός διπλωμάτης και πολιτικός επιστήμονας
http://www.wikidata.org/entity/Q181659,Ούρσουλα Λε Γκουίν,"επιστημονική φαντασία, λογοτεχνία επιστημονικής φαντασίας, λογοτεχνία φαντασίας",Μπέρκλι,1929-10-21T00:00:00Z,2018-01-22T00:00:00Z,συγγραφέας επιστημονικής φαντασίας
http://www.wikidata.org/entity/Q191107,Κλάρα της Ασίζης,"προσευχή, Μυστικισμός, Διαχείριση",Ασίζη,1194-07-23T00:00:00Z,1253-08-18T00:00:00Z,
http://www.wikidata.org/entity/Q214318,Q214318,Αποκρυφισμός,Q1390848,1876-04-15T00:00:00Z,1949-04-19T00:00:00Z,
http://www.wikidata.org/entity/Q217160,Κένι Ρότζερς,κάντρι μουσική,Χιούστον,1938-08-21T00:00:00Z,2020-03-20T00:00:00Z,Αμερικανός τραγουδιστής και στιχουργός
http://www.wikidata.org/entity/Q233584,Q233584,"ακτιβισμός, Δημιουργική γραφή",Μάντσεστερ,1957-08-27T00:00:00Z,,
http://www.wikidata.org/entity/Q233584,Q233584,"ακτιβισμός, Δημιουργική γραφή",Μάντσεστερ,1959-08-27T00:00:00Z,,
http://www.wikidata.org/entity/Q234865,Q234865,"μυθιστόρημα με ντετέκτιβ, τηλεοπτική προσαρμογή",Λούισβιλ,1940-04-24T00:00:00Z,2017-12-28T00:00:00Z,
http://www.wikidata.org/entity/Q240647,Q240647,"Δημιουργική γραφή, ραδιοφωνικό δράμα",Μπαθ,1945-12-17T00:00:00Z,,
http://www.wikidata.org/entity/Q260011,Q260011,συγγραφέας,Σίδνεϊ,1955-09-14T00:00:00Z,,
http://www.wikidata.org/entity/Q1793360,Q1793360,"Πολεμικό ναυτικό, στράτευμα, Στρατιωτική ιστορία, στρατιωτική στρατηγική, στρατιωτική τακτική","Νάουμπουργκ, Ζάαλε",1883-07-13T00:00:00Z,1962-07-26T00:00:00Z,
http://www.wikidata.org/entity/Q1818736,Q1818736,"ιστορία, πολιτική, φιλολογία",Q14914,1883-03-16T00:00:00Z,1971-05-07T00:00:00Z,
http://www.wikidata.org/entity/Q1874144,Q1874144,"ποίηση, παιδαγωγική, πολιτική, δημοσιογραφία",Σουτσεάβα,1832-05-28T00:00:00Z,1897-05-19T00:00:00Z,
http://www.wikidata.org/entity/Q1889885,Q1889885,"ιστορία, δημοσιογραφία γνώμης",Βιέννη,1929-07-31T00:00:00Z,2016-02-03T00:00:00Z,
http://www.wikidata.org/entity/Q1891507,Q1891507,ιστορία,Μαδρίτη,1921-11-07T00:00:00Z,2010-04-19T00:00:00Z,
http://www.wikidata.org/entity/Q1898848,Q1898848,ιστορία,Βερολίνο,1880-01-01T00:00:00Z,1953-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q1898848,Q1898848,ιστορία,Βερολίνο,1880-07-11T00:00:00Z,1953-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q1898848,Q1898848,ιστορία,Βερολίνο,1880-01-01T00:00:00Z,1953-02-15T00:00:00Z,
http://www.wikidata.org/entity/Q1898848,Q1898848,ιστορία,Βερολίνο,1880-07-11T00:00:00Z,1953-02-15T00:00:00Z,
http://www.wikidata.org/entity/Q1903703,Q1903703,ιστορία,Αννόβερο,1965-03-20T00:00:00Z,,
http://www.wikidata.org/entity/Q1904868,Q1904868,"σκύλος, κυνολογία",Ντούισμπουργκ,1970-06-22T00:00:00Z,,
http://www.wikidata.org/entity/Q3356308,Q3356308,"λογοτεχνία, δράμα",Q74652,1901-05-16T00:00:00Z,1969-01-11T00:00:00Z,
http://www.wikidata.org/entity/Q3371899,Q3371899,ποίηση,Αμβέρσα,1897-09-16T00:00:00Z,1984-09-16T00:00:00Z,
http://www.wikidata.org/entity/Q3424862,Q3424862,"μουσική, ταινία",Βρυξέλλες,1967-01-01T00:00:00Z,,
http://www.wikidata.org/entity/Q3432010,Q3432010,"Χριστιανισμός, ορφανοτροφείο, ανθρωπιστική βοήθεια",Καλιφόρνια,1959-08-29T00:00:00Z,,
http://www.wikidata.org/entity/Q3487228,Q3487228,"ποίηση, λογοτεχνία, δράμα, υποκριτική",Ρότερνταμ,1974-01-28T00:00:00Z,,
http://www.wikidata.org/entity/Q3558243,Q3558243,χημεία,Τρινιντάντ,1970-01-01T00:00:00Z,,
