musician,musicianLabel,fields,placeOfBirthLabel,dateOfBirth,dateOfDeath,description
http://www.wikidata.org/entity/Q601977,Q601977,μουσική,Ρίο ντε Τζανέιρο,1972-06-16T00:00:00Z,,
http://www.wikidata.org/entity/Q604347,Q604347,μουσική,Q868642,1940-09-06T00:00:00Z,2015-03-21T00:00:00Z,
http://www.wikidata.org/entity/Q624741,Νέιθαν Τζόνσον,"μουσική, παραγωγή ταινιών",Ουάσινγκτον,1976-08-04T00:00:00Z,,
http://www.wikidata.org/entity/Q646033,Q646033,μουσική,Σκαλίτσα,1947-01-29T00:00:00Z,2017-08-09T00:00:00Z,
http://www.wikidata.org/entity/Q649198,Ίνγκo Σβίχτενμπεργκ,μουσική,Αμβούργο,1965-05-18T00:00:00Z,1995-03-08T00:00:00Z,Γερμανός μουσικός
http://www.wikidata.org/entity/Q653086,Passenger,"μουσική, άσμα",Μπράιτον,1984-05-17T00:00:00Z,,Άγγλος τραγουδιστής-τραγουδοποιός
http://www.wikidata.org/entity/Q653937,Q653937,μουσική,Κοπεγχάγη,1948-03-24T00:00:00Z,,
http://www.wikidata.org/entity/Q655450,Q655450,μουσική,Q5695982,1965-05-17T00:00:00Z,,
http://www.wikidata.org/entity/Q660708,Q660708,μουσική,Q4506702,1960-01-05T00:00:00Z,,
http://www.wikidata.org/entity/Q661196,Q661196,μουσική,Q2207260,1968-06-20T00:00:00Z,,
http://www.wikidata.org/entity/Q679555,Q679555,"μουσική, μουσική εκπαίδευση, σύνθεση",Q1008983,1900-08-22T00:00:00Z,1960-07-26T00:00:00Z,
http://www.wikidata.org/entity/Q685919,Q685919,"μουσική, λογοτεχνία",Q389397,1703-01-01T00:00:00Z,1764-12-22T00:00:00Z,
http://www.wikidata.org/entity/Q685919,Q685919,"μουσική, λογοτεχνία",Q389397,1703-03-12T00:00:00Z,1764-12-22T00:00:00Z,
http://www.wikidata.org/entity/Q685919,Q685919,"μουσική, λογοτεχνία",Q389397,1704-07-26T00:00:00Z,1764-12-22T00:00:00Z,
http://www.wikidata.org/entity/Q687270,Q687270,αστρονομία,Άναχαϊμ,1966-01-01T00:00:00Z,,
http://www.wikidata.org/entity/Q693052,Q693052,"μουσική, μουσική εκπαίδευση, σύνθεση, μουσικό έργο/σύνθεση",Βίνερ Νόιστατ,1753-11-30T00:00:00Z,1836-12-29T00:00:00Z,
http://www.wikidata.org/entity/Q701911,Λόουελ Λο,"μουσική, άσμα, υποκριτική",Χονγκ Κονγκ,1950-07-19T00:00:00Z,,
http://www.wikidata.org/entity/Q705221,Χαρουόμι Χοσόνο,μουσική,Μινάτο,1947-07-09T00:00:00Z,,
http://www.wikidata.org/entity/Q705356,Q705356,μουσική,Βοστώνη,1925-07-10T00:00:00Z,1983-01-19T00:00:00Z,
http://www.wikidata.org/entity/Q705880,Τζορτζ Κόντο,"μουσική, γλυπτική, ζωγραφική, εικαστικές τέχνες, Ποπ Αρτ","Κόνκορντ, Νιου Χάμσαϊρ",1957-12-10T00:00:00Z,,
