actor,actorLabel,fields,placeOfBirthLabel,dateOfBirth,dateOfDeath,description
http://www.wikidata.org/entity/Q13909,Αντζελίνα Τζολί,"ταινία, Φιλανθρωπία",Λος Άντζελες,1975-06-04T00:00:00Z,,"Αμερικανίδα ηθοποιός, σκηνοθέτις και παραγωγός"
http://www.wikidata.org/entity/Q15079,Louis C.K.,"ταινία, δράμα, θέατρο, κωμωδία, υποκριτική",Q4064121,1967-09-12T00:00:00Z,,Αμερικανός κωμικός και ηθοποιός
http://www.wikidata.org/entity/Q16345,Λέοναρντ Νίμοϊ,"ταινία, φωτογραφία, υποκριτική, παραγωγή ταινιών",Q2564220,1931-03-26T00:00:00Z,2015-02-27T00:00:00Z,Αμερικανός ηθοποιός και σκηνοθέτης
http://www.wikidata.org/entity/Q22686,Ντόναλντ Τραμπ,"πολιτική, κυβέρνηση","Νέα Υόρκη ή Νοσοκομείο ""Τζαμάικα""",1946-06-14T00:00:00Z,,45ος Πρόεδρος των Ηνωμένων Πολιτειών (2017-2021)
http://www.wikidata.org/entity/Q23880,Λίλα Ντάουνς,σύνθεση,Οαχάκα,1968-09-09T00:00:00Z,,
http://www.wikidata.org/entity/Q23891,Άντριου Γκάρφιλντ,υποκριτική,Λος Άντζελες,1983-08-20T00:00:00Z,,Αμερικανός ηθοποιός
http://www.wikidata.org/entity/Q26173,Πάμπλο Σράιμπερ,παραγωγή ταινιών,Q1700010,1978-04-26T00:00:00Z,,
http://www.wikidata.org/entity/Q26876,Τέιλορ Σουίφτ,"ποπ μουσική, κάντρι μουσική",Q528626,1989-12-13T00:00:00Z,,
http://www.wikidata.org/entity/Q28487,Μπερενίς Μπεζό,υποκριτική,Μπουένος Άιρες,1976-07-07T00:00:00Z,,
http://www.wikidata.org/entity/Q30449,Αβρίλ Λαβίν,σύνθεση,Μπελβίλ,1984-09-27T00:00:00Z,,"Καναδή τραγουδίστρια, τραγουδοποιός και ηθοποιός"
http://www.wikidata.org/entity/Q39574,Κάντις Ακόλα,σύνθεση,Χιούστον,1987-05-13T00:00:00Z,,Αμερικάνα ηθοποιός και τραγουδίστρια
http://www.wikidata.org/entity/Q39792,Τζακ Νίκολσον,υποκριτική,Νέπτουν Σίτι,1937-04-22T00:00:00Z,,Αμερικανός ηθοποιός
http://www.wikidata.org/entity/Q40248,Τζούλι Μπόουεν,υποκριτική,Βαλτιμόρη,1970-01-01T00:00:00Z,,Αμερικανίδα ηθοποιός
http://www.wikidata.org/entity/Q40248,Τζούλι Μπόουεν,υποκριτική,Βαλτιμόρη,1970-03-03T00:00:00Z,,Αμερικανίδα ηθοποιός
http://www.wikidata.org/entity/Q41034,Q41034,υποκριτική,Γουοτερλού,1926-10-17T00:00:00Z,2019-02-03T00:00:00Z,Αμερικανίδα ηθοποιός
http://www.wikidata.org/entity/Q41342,Μαίρη Τάιλερ Μουρ,υποκριτική,Μπρούκλιν,1936-12-29T00:00:00Z,2017-01-25T00:00:00Z,
