scientist,scientistLabel,fields,placeOfBirthLabel,dateOfBirth,dateOfDeath,description
http://www.wikidata.org/entity/Q20018,Τζωρτζ Αίρυ,αστρονομία,Άλνουικ,1801-07-27T00:00:00Z,1892-01-02T00:00:00Z,Άγγλος μαθηματικός και αστρονόμος
http://www.wikidata.org/entity/Q7604,Λέοναρντ Όιλερ,"ναυπήγηση, Λογισμός των μεταβολών, θεωρία της μουσικής, βλητική, θεωρία γράφων, Διαφορικός λογισμός, μηχανική, οπτική, θεωρία αριθμών, λογική, Μαθηματική ανάλυση, φυσική, μαθηματικά, αστρονομία",Βασιλεία,1707-04-15T00:00:00Z,1783-09-18T00:00:00Z,Ελβετός μαθηματικός
http://www.wikidata.org/entity/Q7604,Λέοναρντ Όιλερ,"ναυπήγηση, Λογισμός των μεταβολών, θεωρία της μουσικής, βλητική, θεωρία γράφων, Διαφορικός λογισμός, μηχανική, οπτική, θεωρία αριθμών, λογική, Μαθηματική ανάλυση, φυσική, μαθηματικά, αστρονομία",Βασιλεία,1707-04-15T00:00:00Z,1783-01-01T00:00:00Z,Ελβετός μαθηματικός
http://www.wikidata.org/entity/Q762,Λεονάρντο ντα Βίντσι,"σκηνογραφία, αναγεννησιακή αρχιτεκτονική, ζωγραφική, μηχανική, φυσιολογία",Αντσιάνο,1452-04-24T00:00:00Z,1519-05-12T00:00:00Z,Ιταλός καλλιτέχνης της Αναγέννησης
http://www.wikidata.org/entity/Q27122,Λούμπος Κόχουτεκ,"ανακάλυψη αστεροειδών, Πλανητικό νεφέλωμα, πλανήτης, αστρονομία",Q246634,1935-01-29T00:00:00Z,2023-12-30T00:00:00Z,Τσέχος αστρονόμος
http://www.wikidata.org/entity/Q57501,Κριστιάν Τομάσιους,Ψηφιακές Ανθρωπιστικές Επιστήμες,Λειψία,1655-01-01T00:00:00Z,1728-09-23T00:00:00Z,Γερμανός νομικός και φιλόσοφος
http://www.wikidata.org/entity/Q61497,Κουρτ Τανκ,μηχανική,Μπίντγκοστς,1898-02-24T00:00:00Z,1983-06-05T00:00:00Z,Γερμανός αεροναυπηγός και σχεδιαστής αεροσκαφών
http://www.wikidata.org/entity/Q65807,Q65807,"Αστρονομία υπέρυθρης ακτινοβολίας, αστροφυσική, επιστήμη",Μπαντ Χόμπουργκ φορ ντερ Χέε,1952-03-24T00:00:00Z,,
http://www.wikidata.org/entity/Q66600,Καρλ Γιόζεφ Έμπερτ,"βακτηριολογία, παθολογοανατομία",Βύρτσμπουργκ,1835-09-21T00:00:00Z,1926-12-02T00:00:00Z,
http://www.wikidata.org/entity/Q71557,Q71557,εκπαιδευτικό σύστημα,Αμβούργο,1964-07-07T00:00:00Z,,
http://www.wikidata.org/entity/Q72228,Q72228,"βακτηριολογία, φαρμακολογία",Κεντζιέζιν-Κόζλε,1867-11-20T00:00:00Z,1948-06-10T00:00:00Z,
http://www.wikidata.org/entity/Q73058,Γουίλαρντ Μπόυλ,"ιστορία της τεχνολογίας, Επεξεργασία εικόνας, ηλεκτρονικό εξάρτημα, φυσική",Q470594,1924-08-19T00:00:00Z,2011-05-07T00:00:00Z,
http://www.wikidata.org/entity/Q73300,Q73300,"Φυσικό περιβάλλον, κοινωνιολογία, οικολογία, παγκοσμιοποίηση",Μόναχο,1946-11-25T00:00:00Z,,
